"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"325",13,"Elijah Arroyo",SEA,"TE42","11","","","3 out of 5 stars","-"
"326",13,"Jalen Tolbert",MIA,"WR112","6","","","3 out of 5 stars","-40"
"327",13,"Dallas Cowboys",DAL,"DST22","14","","","1 out of 5 stars","-81"
"328",13,"Tez Johnson",TB,"WR113","10","","","4 out of 5 stars","-"
"329",13,"Konata Mumpfield",LAR,"WR114","11","","","1 out of 5 stars","-"
"330",13,"J.J. McCarthy",MIN,"QB36","6","","","5 out of 5 stars","-70"
"331",13,"DeMario Douglas",NE,"WR115","11","","","2 out of 5 stars","-"
"332",13,"Kareem Hunt",FA,"RB99","-","","","-","-37"
"333",13,"Tyler Higbee",LAR,"TE43","11","","","4 out of 5 stars","-"
"334",13,"Cedric Tillman",CLE,"WR116","11","","","3 out of 5 stars","-"
"335",13,"Carson Beck",ARI,"QB37","14","","","2 out of 5 stars","-56"
"336",13,"Max Klare",LAR,"TE44","11","","","4 out of 5 stars","-32"
"337",13,"Joe Mixon",FA,"RB100","-","","","-","-92"
"338",13,"Calvin Austin III",NYG,"WR117","8","","","4 out of 5 stars","-"
"339",13,"Luke McCaffrey",WAS,"WR118","7","","","2 out of 5 stars","-"
"340",13,"Chris Brazzell II",CAR,"WR119","5","","","2 out of 5 stars","-"
"341",14,"Cole Kmet",CHI,"TE45","10","","","2 out of 5 stars","-"
"342",14,"Jalen Royals",KC,"WR120","5","","","2 out of 5 stars","-"
"343",14,"Brenen Thompson",LAC,"WR121","7","","","2 out of 5 stars","-4"
"344",14,"Bryce Lance",NO,"WR122","8","","","3 out of 5 stars","-"
"345",14,"Dawson Knox",BUF,"TE46","7","","","3 out of 5 stars","-"
"346",14,"Eli Raridon",NE,"TE47","11","","","4 out of 5 stars","-"
"347",14,"Noah Gray",KC,"TE48","5","","","4 out of 5 stars","-"
"348",14,"Carolina Panthers",CAR,"DST23","5","","","3 out of 5 stars","-36"
"349",14,"Mac Jones",SF,"QB38","8","","","1 out of 5 stars","-42"
"350",14,"Eli Heidenreich",PIT,"RB101","9","","","2 out of 5 stars","-"
"351",14,"Olamide Zaccheaus",ATL,"WR123","11","","","3 out of 5 stars","-"
"352",14,"Justin Joly",DEN,"TE49","10","","","4 out of 5 stars","-"
"353",14,"Erick All Jr.",CIN,"TE50","6","","","3 out of 5 stars","-"
"354",14,"New York Giants",NYG,"DST24","8","","","1 out of 5 stars","-111"
"355",14,"Charlie Kolar",LAC,"TE51","7","","","4 out of 5 stars","-"
"356",14,"Bam Knight",ARI,"RB102","14","","","2 out of 5 stars","-"
"357",14,"Ja'Tavion Sanders",CAR,"TE52","5","","","2 out of 5 stars","-41"
"358",14,"Tampa Bay Buccaneers",TB,"DST25","10","","","4 out of 5 stars","-48"
"359",14,"Justin Fields",KC,"QB39","5","","","2 out of 5 stars","-69"
"360",14,"Jake Elliott",PHI,"K19","10","","","5 out of 5 stars","-76"
"361",14,"Michael Carter",TEN,"RB103","9","","","3 out of 5 stars","-"
"362",14,"Kendrick Bourne",ARI,"WR124","14","","","2 out of 5 stars","-"
"363",14,"Joshua Palmer",BUF,"WR125","7","","","4 out of 5 stars","-18"
"364",14,"Treylon Burks",WAS,"WR126","7","","","2 out of 5 stars","-"
"365",14,"Ty Simpson",LAR,"QB40","11","","","3 out of 5 stars","-44"
"366",14,"Zane Gonzalez",MIA,"K20","6","","","2 out of 5 stars","-"
"367",14,"Kevin Coleman Jr.",MIA,"WR127","6","","","3 out of 5 stars","-"
"368",14,"Tyler Bass",BUF,"K21","7","","","2 out of 5 stars","-65"
"369",14,"Jawhar Jordan",HOU,"RB104","8","","","4 out of 5 stars","-"
"370",14,"Tutu Atwell",MIA,"WR128","6","","","3 out of 5 stars","-53"
"371",14,"J'Mari Taylor",JAC,"RB105","7","","","4 out of 5 stars","-"
"372",14,"KaVontae Turpin",DAL,"WR129","14","","","2 out of 5 stars","-"
"373",14,"Dont'e Thornton Jr.",LV,"WR130","13","","","2 out of 5 stars","-"
"374",14,"Xavier Hutchinson",HOU,"WR131","8","","","3 out of 5 stars","-"
"375",14,"Blake Grupe",IND,"K22","13","","","4 out of 5 stars","-"
"376",14,"Nick Chubb",FA,"RB106","-","","","-","-"
"377",14,"Raheim Sanders",CLE,"RB107","11","","","3 out of 5 stars","-"
"378",14,"Tennessee Titans",TEN,"DST26","9","","","2 out of 5 stars","-64"
"379",14,"Savion Williams",GB,"WR132","11","","","5 out of 5 stars","-"
"380",14,"Phil Mafah",DAL,"RB108","14","","","4 out of 5 stars","-"
"381",14,"Noah Fant",NO,"TE53","8","","","2 out of 5 stars","-"
"382",14,"Nick Folk",ATL,"K23","11","","","0 out of 5 stars","-60"
"383",14,"Malik Benson",LV,"WR133","13","","","2 out of 5 stars","-"
"384",14,"Zavion Thomas",CHI,"WR134","10","","","3 out of 5 stars","-"
"385",14,"Trey Smack",GB,"K24","11","","","4 out of 5 stars","-74"
"386",14,"Jaylin Lane",WAS,"WR135","7","","","2 out of 5 stars","-"
"387",14,"Nick Westbrook-Ikhine",IND,"WR136","13","","","4 out of 5 stars","-"
"388",14,"John Metchie III",CAR,"WR137","5","","","2 out of 5 stars","-"
"389",14,"Kalif Raymond",CHI,"WR138","10","","","3 out of 5 stars","-"
"390",14,"Roman Wilson",PIT,"WR139","9","","","3 out of 5 stars","-"
"391",14,"Anthony Richardson Sr.",IND,"QB41","13","","","4 out of 5 stars","-"
"392",14,"Daniel Carlson",LV,"K25","13","","","1 out of 5 stars","-"
"393",14,"Cincinnati Bengals",CIN,"DST27","6","","","4 out of 5 stars","-80"
"394",14,"Chad Ryland",ARI,"K26","14","","","2 out of 5 stars","-"
"395",14,"Joe Flacco",CIN,"QB42","6","","","3 out of 5 stars","-"
"396",14,"CJ Daniels",LAR,"WR140","11","","","1 out of 5 stars","-"
"397",14,"Jam Miller",NE,"RB109","11","","","2 out of 5 stars","-"
"398",14,"Mitchell Evans",CAR,"TE54","5","","","2 out of 5 stars","-"
"399",14,"Joey Slye",TEN,"K27","9","","","4 out of 5 stars","-"
"400",14,"Austin Ekeler",FA,"RB110","-","","","-","-128"
"401",14,"Ryan Fitzgerald",CAR,"K28","5","","","0 out of 5 stars","-"
"402",14,"Luke Musgrave",GB,"TE55","11","","","2 out of 5 stars","-"
"403",14,"Jameis Winston",NYG,"QB43","8","","","4 out of 5 stars","-"
"404",14,"Tommy Tremble",CAR,"TE56","5","","","2 out of 5 stars","-"
"405",14,"Miami Dolphins",MIA,"DST28","6","","","3 out of 5 stars","-76"
"406",14,"Sione Vaki",DET,"RB111","6","","","5 out of 5 stars","-"
"407",14,"Ben Sinnott",WAS,"TE57","7","","","1 out of 5 stars","-"
"408",14,"Daniel Bellinger",TEN,"TE58","9","","","3 out of 5 stars","-"
"409",15,"Ben Sauls",NYG,"K29","8","","","2 out of 5 stars","-"
"410",15,"Rasheen Ali",BAL,"RB112","13","","","3 out of 5 stars","-"
"411",15,"Devontez Walker",BAL,"WR141","13","","","4 out of 5 stars","-"
"412",15,"Washington Commanders",WAS,"DST29","7","","","2 out of 5 stars","-"
"413",15,"John Bates",WAS,"TE59","7","","","1 out of 5 stars","-"
"414",15,"Jake Moody",FA,"K30","-","","","-","-"
"415",15,"Roschon Johnson",CHI,"RB113","10","","","2 out of 5 stars","-"
"416",15,"Dameon Pierce",PHI,"RB114","10","","","4 out of 5 stars","-"
"417",15,"Las Vegas Raiders",LV,"DST30","13","","","4 out of 5 stars","-91"
"418",15,"Brandon McManus",FA,"K31","-","","","-","-"
"419",15,"Demarcus Robinson",SF,"WR142","8","","","2 out of 5 stars","-"
"420",15,"Jeremy McNichols",WAS,"RB115","7","","","4 out of 5 stars","-"
"421",15,"Kyle Juszczyk",SF,"RB116","8","","","2 out of 5 stars","-"
"422",15,"Cade Klubnik",NYJ,"QB44","13","","","4 out of 5 stars","-"
"423",15,"Damien Martinez",GB,"RB117","11","","","4 out of 5 stars","-"
"424",15,"Jordan Whittington",LAR,"WR143","11","","","1 out of 5 stars","-"
"425",15,"Zavier Scott",MIN,"RB118","6","","","4 out of 5 stars","-"
"426",15,"Terrell Jennings",FA,"RB119","-","","","-","-"
"427",15,"Spencer Shrader",IND,"K32","13","","","4 out of 5 stars","-"
"428",15,"New York Jets",NYJ,"DST31","13","","","4 out of 5 stars","-101"
"429",15,"Khalil Herbert",FA,"RB120","-","","","-","-"
"430",15,"Tommy Myers",FA,"TE60","-","","","-","-"
"431",15,"Tyler Goodson",ATL,"RB121","11","","","2 out of 5 stars","-"
"432",15,"Ashton Dulin",IND,"WR144","13","","","4 out of 5 stars","-"
"433",15,"Colbie Young",CIN,"WR145","6","","","4 out of 5 stars","-"
"434",15,"Marcus Mariota",WAS,"QB45","7","","","2 out of 5 stars","-"
"435",15,"Odell Beckham Jr.",NYG,"WR146","8","","","4 out of 5 stars","-"
"436",15,"Tai Felton",MIN,"WR147","6","","","5 out of 5 stars","-"
"437",15,"Jonnu Smith",FA,"TE61","-","","","-","-"
"438",15,"Marlin Klein",HOU,"TE62","8","","","4 out of 5 stars","-"
"439",15,"Ty Chandler",NO,"RB122","8","","","3 out of 5 stars","-"
"440",15,"Joe Milton III",DAL,"QB46","14","","","2 out of 5 stars","-"
"441",15,"Robert Henry Jr.",WAS,"RB123","7","","","4 out of 5 stars","-"
"442",15,"Dyami Brown",WAS,"WR148","7","","","2 out of 5 stars","-"
"443",15,"Dylan Laube",LV,"RB124","13","","","2 out of 5 stars","-"
"444",15,"Riley Leonard",IND,"QB47","13","","","4 out of 5 stars","-"
"445",15,"Deion Burks",IND,"WR149","13","","","4 out of 5 stars","-"
"446",15,"Frank Gore Jr.",BUF,"RB125","7","","","2 out of 5 stars","-"
"447",15,"Taysom Hill",FA,"TE63","-","","","-","-"
"448",15,"Zach Ertz",FA,"TE64","-","","","-","-"
"449",15,"Xavier Smith",LAR,"WR150","11","","","1 out of 5 stars","-"
"450",15,"Miles Sanders",FA,"RB126","-","","","-","-"
"451",15,"Donovan Edwards",MIA,"RB127","6","","","3 out of 5 stars","-"
"452",15,"Jalen Reagor",MIA,"WR151","6","","","3 out of 5 stars","-"
"453",15,"Elijah Tau-Tolliver",BAL,"RB128","13","","","3 out of 5 stars","-"
"454",15,"Jahdae Walker",CHI,"WR152","10","","","3 out of 5 stars","-"
"455",15,"Roman Hemby",LV,"RB129","13","","","2 out of 5 stars","-"
"456",15,"Juice Wells Jr.",ATL,"WR153","11","","","3 out of 5 stars","-"
"457",15,"Isaiah Williams",NYJ,"WR154","13","","","4 out of 5 stars","-"
"458",15,"Xavier Restrepo",TEN,"WR155","9","","","3 out of 5 stars","-"
"459",15,"Theo Wease Jr.",MIA,"WR156","6","","","3 out of 5 stars","-"
"460",15,"Austin Hooper",ATL,"TE65","11","","","3 out of 5 stars","-"
"461",15,"Greg Dortch",DET,"WR157","6","","","4 out of 5 stars","-"
"462",15,"Barion Brown",NO,"WR158","8","","","3 out of 5 stars","-"
"463",15,"Hunter Luepke",DAL,"RB130","14","","","4 out of 5 stars","-"
"464",15,"Jaydn Ott",KC,"RB131","5","","","3 out of 5 stars","-"
"465",15,"Kalel Mullings",TEN,"RB132","9","","","3 out of 5 stars","-"
"466",15,"DeAndre Hopkins",BAL,"WR159","13","","","4 out of 5 stars","-"
"467",15,"Myles Montgomery",FA,"RB133","-","","","-","-"
"468",15,"Adam Trautman",DEN,"TE66","10","","","4 out of 5 stars","-"
"469",15,"Jackson Hawes",BUF,"TE67","7","","","3 out of 5 stars","-"
"470",15,"Brandin Cooks",FA,"WR160","-","","","-","-"
"471",15,"Nate Boerkircher",JAC,"TE68","7","","","3 out of 5 stars","-"
"472",15,"Miles Davis",CAR,"RB134","5","","","1 out of 5 stars","-"
"473",15,"Ronnie Rivers",LAR,"RB135","11","","","5 out of 5 stars","-"
"474",15,"Tyler Lockett",LV,"WR161","13","","","2 out of 5 stars","-"
"475",16,"Antonio Gibson",FA,"RB136","-","","","-","-"
"476",16,"Elijah Higgins",ARI,"TE69","14","","","2 out of 5 stars","-"
"477",16,"Marquez Valdes-Scantling",DAL,"WR162","14","","","2 out of 5 stars","-"
"478",16,"Mitch Tinsley",CIN,"WR163","6","","","4 out of 5 stars","-"
"479",16,"Chris Blair",ATL,"WR164","11","","","3 out of 5 stars","-"
"480",16,"Quinn Ewers",MIA,"QB48","6","","","3 out of 5 stars","-"
"481",16,"Noah Whittington",HOU,"RB137","8","","","4 out of 5 stars","-"
"482",16,"Reggie Virgil",ARI,"WR165","14","","","2 out of 5 stars","-"
"483",16,"Tanner Koziol",JAC,"TE70","7","","","3 out of 5 stars","-"
"484",16,"Kenny McIntosh",FA,"RB138","-","","","-","-"
"485",16,"Matt Hibner",BAL,"TE71","13","","","4 out of 5 stars","-"
"486",16,"Elijah Mitchell",FA,"RB139","-","","","-","-"
"487",16,"Michael Woods II",DEN,"WR166","10","","","2 out of 5 stars","-"
"488",16,"Josh Oliver",MIN,"TE72","6","","","4 out of 5 stars","-"
"489",16,"Tim Patrick",NYJ,"WR167","13","","","4 out of 5 stars","-"
"490",16,"Tyler Conklin",DET,"TE73","6","","","3 out of 5 stars","-"
"491",16,"Luke Schoonmaker",DAL,"TE74","14","","","2 out of 5 stars","-"
"492",16,"Gardner Minshew II",ARI,"QB49","14","","","2 out of 5 stars","-"
"493",16,"Van Jefferson",WAS,"WR168","7","","","2 out of 5 stars","-"
"494",16,"Sam Roush",CHI,"TE75","10","","","2 out of 5 stars","-"
"495",16,"Trey Lance",LAC,"QB50","7","","","2 out of 5 stars","-"
"496",16,"Jalen Milroe",SEA,"QB51","11","","","4 out of 5 stars","-"
"497",16,"Jimmy Horn Jr.",CAR,"WR169","5","","","2 out of 5 stars","-"
"498",16,"Michael Trigg",DAL,"TE76","14","","","2 out of 5 stars","-193"
"499",16,"JuJu Smith-Schuster",FA,"WR170","-","","","-","-"
